//
//	Scripted by THINH NGUYEN
//  File: Ceids.txt
//	Version: 1.0
//	Date: Mon Mar  5 16:31:37 2018
//
// This file is to configure all CEIDs. WARNING!!! DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
// This is a typical way to express an CEID.
//   ceid		is id of the ceid
//   name		is name of the ceid
//
// ceid		name
//
184750081 ReactorAlarmRC3PMLimit16OverDetected
184750337 ReactorAlarmRC3PMLimit17OverDetected
184750593 ReactorAlarmRC3PMLimit18OverDetected
184750849 ReactorAlarmRC3PMLimit19OverDetected
184751105 ReactorAlarmRC3PMLimit20OverDetected
184779009 ReactorAlarmRC3PMDOLimitOverDetected
184779265 ReactorAlarmRC3PMRFLimitOverDetected
184779521 ReactorAlarmRC3PMThicknessLimitOverDetected
184811777 ReactorAlarmRC4PMLimit1OverDetected
184812033 ReactorAlarmRC4PMLimit2OverDetected
184812289 ReactorAlarmRC4PMLimit3OverDetected
184812545 ReactorAlarmRC4PMLimit4OverDetected
184812801 ReactorAlarmRC4PMLimit5OverDetected
184813057 ReactorAlarmRC4PMLimit6OverDetected
184813313 ReactorAlarmRC4PMLimit7OverDetected
184813569 ReactorAlarmRC4PMLimit8OverDetected
184813825 ReactorAlarmRC4PMLimit9OverDetected
184814081 ReactorAlarmRC4PMLimit10OverDetected
184814337 ReactorAlarmRC4PMLimit11OverDetected
184814593 ReactorAlarmRC4PMLimit12OverDetected
184814849 ReactorAlarmRC4PMLimit13OverDetected
184815105 ReactorAlarmRC4PMLimit14OverDetected
184815361 ReactorAlarmRC4PMLimit15OverDetected
184815617 ReactorAlarmRC4PMLimit16OverDetected
184815873 ReactorAlarmRC4PMLimit17OverDetected
184816129 ReactorAlarmRC4PMLimit18OverDetected
184816385 ReactorAlarmRC4PMLimit19OverDetected
184816641 ReactorAlarmRC4PMLimit20OverDetected
184844545 ReactorAlarmRC4PMDOLimitOverDetected
184844801 ReactorAlarmRC4PMRFLimitOverDetected
184845057 ReactorAlarmRC4PMThicknessLimitOverDetected
184877313 Rev0.08-1Chg
184877569 Rev0.08-1Chg
184877825 Rev0.08-1Chg
184878081 Rev0.08-1Chg
184878337 Rev0.08-1Chg
184878593 Rev0.08-1Chg
184878849 Rev0.08-1Chg
184879105 Rev0.08-1Chg
184879361 Rev0.08-1Chg
184879617 Rev0.08-1Chg
184879873 Rev0.08-1Chg
184880129 Rev0.08-1Chg
184880385 Rev0.08-1Chg
184880641 Rev0.08-1Chg
184880897 Rev0.08-1Chg
184881153 Rev0.08-1Chg
184881409 Rev0.08-1Chg
184881665 Rev0.08-1Chg
184881921 Rev0.08-1Chg
184882177 Rev0.08-1Chg
184910081 Rev0.08-1Chg
184910337 Rev0.08-1Chg
184910593 Rev0.08-1Chg
167838977 ReactorAlarmRC1Forced1Detected
167839233 ReactorAlarmRC1Forced2Detected
167839489 ReactorAlarmRC1SafetyLatchDetected
167904513 ReactorAlarmRC2Forced1Detected
167904769 ReactorAlarmRC2Forced2Detected
167905025 ReactorAlarmRC2SafetyLatchDetected
167970049 ReactorAlarmRC3Forced1Detected
167970305 ReactorAlarmRC3Forced2Detected
167970561 ReactorAlarmRC3SafetyLatchDetected
168035585 ReactorAlarmRC4Forced1Detected
168035841 ReactorAlarmRC4Forced2Detected
168036097 ReactorAlarmRC4SafetyLatchDetected
168101121 Rev0.08-1Chg
168101377 Rev0.08-1Chg
168101633 Rev0.08-1Chg
202375169 EquipmentAlarmDetected
201326593 TMCAlarmDetected
201392129 PMC1AlarmDetected
201457665 PMC2AlarmDetected
201523201 PMC3AlarmDetected
201588737 PMC4AlarmDetected
201654273 Rev0.08-1Chg
185270529 WHCAlarmCountLimit1OverDetected
185270785 WHCAlarmCountLimit2OverDetected
185271041 WHCAlarmCountLimit3OverDetected
