"7940","06/13","19:44:11","Recv","S6F12",Event Report Acknowledge
"7939","06/13","19:44:13","Send","S6F11","CEID:77937 RC1RecipeFinished (RC1 Finished in 00:07:08)"
"7938","06/13","19:44:13","Recv","S6F12",Event Report Acknowledge
"7937","06/13","19:44:14","Send","S6F11",CEID:102448 DepositionRecipeFinished
"7936","06/13","19:44:14","Recv","S6F12",Event Report Acknowledge
"7935","06/13","19:44:14","Send","S6F11",CEID:78225 WaferMovedStartLL1BERbt
"7934","06/13","19:44:14","Recv","S6F12",Event Report Acknowledge
"7933","06/13","19:44:16","Send","S6F11",CEID:78049 WaferMovedFinishLP1FERbt
"7932","06/13","19:44:16","Recv","S6F12",Event Report Acknowledge
"7931","06/13","19:44:16","Send","S6F11",CEID:78066 WaferMovedStartFERbtLL2
"7930","06/13","19:44:16","Recv","S6F12",Event Report Acknowledge
"7929","06/13","19:44:19","Send","S6F11",CEID:78241 WaferMovedFinishLL1BERbt
"7928","06/13","19:44:19","Recv","S6F12",Event Report Acknowledge
"7927","06/13","19:44:20","Send","S6F11",CEID:78082 WaferMovedFinishFERbtLL2
"7926","06/13","19:44:20","Recv","S6F12",Event Report Acknowledge
"7925","06/13","19:44:40","Send","S6F11","CEID:78289 WaferMovedStartRC1BERbt (RC1 Finished Wafer in 00:07:59)"
"7924","06/13","19:44:40","Recv","S6F12",Event Report Acknowledge
"7923","06/13","19:44:47","Send","S6F11",CEID:78305 WaferMovedFinishRC1BERbt
"7922","06/13","19:44:47","Recv","S6F12",Event Report Acknowledge
"7921","06/13","19:44:47","Send","S6F11",CEID:78257 WaferMovedStartBERbtRC1
"7920","06/13","19:44:47","Recv","S6F12",Event Report Acknowledge
"7919","06/13","19:44:52","Send","S6F11","CEID:78273 WaferMovedFinishBERbtRC1 (RC1 Wafer Entered)"
"7918","06/13","19:44:52","Recv","S6F12",Event Report Acknowledge
"7917","06/13","19:44:52","Send","S6F11",CEID:78321 WaferMovedStartdBERbtLL1
"7916","06/13","19:44:52","Recv","S6F12",Event Report Acknowledge
"7915","06/13","19:44:57","Send","S6F11",CEID:78337 WaferMovedFinishdBERbtLL1
"7914","06/13","19:44:57","Recv","S6F12",Event Report Acknowledge
"7913","06/13","19:45:15","Send","S6F11","CEID:77921 RC1RecipeStarted (RC1 Started)"
"7912","06/13","19:45:15","Recv","S6F12",Event Report Acknowledge
"7911","06/13","19:45:16","Send","S6F11",CEID:102432 DepositionRecipeStarted
"7910","06/13","19:45:16","Recv","S6F12",Event Report Acknowledge
"7909","06/13","19:45:24","Send","S6F11","CEID:77938 RC2RecipeFinished (RC2 Finished in 00:07:08)"
"7908","06/13","19:45:24","Recv","S6F12",Event Report Acknowledge
"7907","06/13","19:45:24","Send","S6F11",CEID:78226 WaferMovedStartLL2BERbt
"7906","06/13","19:45:24","Recv","S6F12",Event Report Acknowledge
"7905","06/13","19:45:24","Send","S6F11",CEID:102448 DepositionRecipeFinished
"7904","06/13","19:45:24","Recv","S6F12",Event Report Acknowledge
"7903","06/13","19:45:29","Send","S6F11",CEID:78242 WaferMovedFinishLL2BERbt
"7902","06/13","19:45:29","Recv","S6F12",Event Report Acknowledge
"7901","06/13","19:45:53","Send","S6F11","CEID:78290 WaferMovedStartRC2BERbt (RC2 Finished Wafer in 00:08:01)"
"7900","06/13","19:45:53","Recv","S6F12",Event Report Acknowledge
"7899","06/13","19:46:00","Send","S6F11",CEID:78306 WaferMovedFinishRC2BERbt
"7898","06/13","19:46:00","Recv","S6F12",Event Report Acknowledge
"7897","06/13","19:46:00","Send","S6F11",CEID:78258 WaferMovedStartBERbtRC2
"7896","06/13","19:46:00","Recv","S6F12",Event Report Acknowledge
"7895","06/13","19:46:05","Send","S6F11","CEID:78274 WaferMovedFinishBERbtRC2 (RC2 Wafer Entered)"
"7894","06/13","19:46:05","Recv","S6F12",Event Report Acknowledge
"7893","06/13","19:46:05","Send","S6F11",CEID:78322 WaferMovedStartdBERbtLL2
"7892","06/13","19:46:05","Recv","S6F12",Event Report Acknowledge
"7891","06/13","19:46:10","Send","S6F11",CEID:78338 WaferMovedFinishdBERbtLL2
"7890","06/13","19:46:10","Recv","S6F12",Event Report Acknowledge
"7889","06/13","19:46:28","Send","S6F11","CEID:77922 RC2RecipeStarted (RC2 Started)"
"7888","06/13","19:46:28","Recv","S6F12",Event Report Acknowledge
"7887","06/13","19:46:29","Send","S6F11",CEID:102432 DepositionRecipeStarted
"7886","06/13","19:46:29","Recv","S6F12",Event Report Acknowledge
"7885","06/13","19:47:12","Send","S6F11",CEID:78097 WaferMovedStartLL1FERbt
